ID,label
1073748245,7
1073751978,3
1073835561,6
1073856553,2
1073929630,7
1073929880,3
1073949310,4
1073994297,8
1073994298,4
1073994300,8
1074011942,5
1074239565,3
1074245455,9
1074245511,6
1074247432,1
1074254689,9
1074254690,8
1074254711,9
1074254733,9
1074254734,10
1074254736,6
1074613568,2
1074613570,8
1074613571,5
1074613574,2
1074626400,7
1074626616,9
1074627318,2
1075033645,1
1075039455,6
1075039568,7
1075180851,6
1075182251,2
1075196600,4
1075317815,3
1075317816,5
1075344738,6
1075344739,7
1075349076,7
1075454346,4
1075467188,3
1075523941,4
1075783976,3
1075783979,2
1075797528,4
1075797529,6
1075805244,8
1075809235,6
1075809237,3
1075809253,6
1075810253,2
1075810255,2
1075810259,5
1075810260,6
1075810262,9
1075810265,9
1075810266,1
1075810275,6
1075810278,2
1075810279,3
1075810280,2
1075810282,5
1075810344,3
1075810345,2
1075810346,1
1075810347,4
1075810348,3
1075810349,6
1075810350,3
1075810351,1
1075810376,7
1075810377,9
1075810378,5
1075810379,2
1075810590,7
1075810591,4
1075810592,7
1075810593,7
1075810597,9
1075810609,3
1075810610,4
1075810787,6
1075810846,6
1075810847,2
1075810848,5
1075810849,5
1075810867,4
1075810868,6
1075810869,5
1075810870,6
1075810871,5
1075810885,4
1075810886,5
1075810887,8
1075810896,1
1075810914,2
1075810915,3
1075810916,4
1075810917,4
1075810918,4
1075810919,3
1075810921,2
1075810937,2
1075810939,6
1075810941,3
1075810943,6
1075810944,1
1075810945,10
1075810946,10
1075810948,10
1075810952,4
1075810953,3
1075810954,2
1075810956,8
1075810957,6
1075810960,4
1075810961,3
1075810962,8
1075810963,7
1075810964,8
1075810965,8
1075810966,8
1075810973,8
1075810974,9
1075810987,8
1075810988,2
1075810989,10
1075810990,2
1075810991,8
1075810992,10
1075810993,7
1075810994,10
1075810995,10
1075810998,10
1075810999,10
1075811002,5
1075811092,1
1075811093,3
1075811095,2
1075811098,2
1075811099,3
1075811101,1
1075811102,4
1075811149,7
1075811150,7
1075811151,8
1075811153,8
1075811157,7
1075811203,5
1075811204,7
1075811207,8
1075811208,8
1075811209,7
1075811210,8
1075811211,7
1075811214,4
1075811215,4
1075811216,4
1075811217,3
1075811219,4
1075811220,4
1075811223,8
1075811225,1
1075811227,1
1075811228,1
1075811229,1
1075811231,7
1075811234,2
1075811237,9
1075811240,7
1075811242,5
1075811243,4
1075811244,5
1075811247,3
1075811258,2
1075811259,1
1075811260,1
1075811261,5
1075811262,5
1075811265,1
1075811266,1
1075811273,8
1075811274,8
1075811277,7
1075811278,7
1075811279,4
1075811280,7
1075811282,2
1075811283,8
1075811284,4
1075811285,8
1075811286,6
1075811315,7
1075811316,7
1075811318,3
1075811319,3
1075811320,2
1075811323,2
1075811324,4
1075811325,2
1075811332,7
1075811333,9
1075811335,8
1075811336,7
1075811338,8
1075811339,8
1075811340,9
1075811341,8
1075811342,7
1075811343,3
1075811344,7
1075811345,9
1075811346,8
1075811349,8
1075811353,8
1075811354,8
1075811355,9
1075811356,2
1075811357,8
1075811360,7
1075811362,8
1075811364,6
1075811367,10
1075811368,10
1075811371,4
1075811376,7
1075811378,4
1075811381,4
1075811382,4
1075811385,6
1075811386,6
1075811401,8
1075811412,10
1075811432,1
1075811439,2
1075811441,7
1075811442,5
1075811450,8
1075811451,7
1075811465,7
1075811466,8
1075811467,6
1075811517,6
1075811519,8
1075811520,8
1075811521,7
1075811522,5
1075811524,5
1075811527,4
1075811528,6
1075811529,3
1075811533,4
1075811549,7
1075811550,2
1075811561,7
1075811562,6
1075811563,7
1075811564,6
1075811565,7
1075811566,3
1075811567,6
1075811569,3
1075811570,3
1075811571,2
1075811572,2
1075811573,2
1075811574,3
1075811575,3
1075811576,2
1075811581,2
1075811582,2
1075811590,9
1075811593,2
1075811635,6
1075811688,4
1075811689,8
1075811690,7
1075811691,6
1075811692,7
1075811694,7
1075811695,6
1075811696,4
1075811697,5
1075811698,1
1075811699,6
1075811701,2
1075811746,7
1075833606,4
1075833607,3
1075833608,3
1075834004,1
1075834188,1
1075834846,2
1075834917,1
1075835070,6
1075835072,7
1075835073,7
1075835074,6
1075835075,7
1075835077,8
1075835078,6
1075835079,6
1075835080,8
1075835121,4
1075835218,1
1075835224,3
1075835225,4
1075835227,3
1075835232,6
1075835322,7
1075835449,8
1075835464,1
1075835973,3
1075835980,6
1075835981,2
1075836006,4
1075836052,2
1075836054,3
1075836071,2
1075836072,1
1075836111,2
1075836270,3
1075836276,6
1075837095,1
1075837096,4
1075837101,9
1075837102,9
1075837103,5
1075837110,5
1075837111,3
1075837113,3
1075837114,8
1075837155,1
1075837158,8
1075837159,1
1075838024,1
1075838600,3
1075839055,7
1075839056,3
1075844519,5
1075859004,9
1075874007,1
1075874025,4
1075874027,4
1075874028,4
1075874029,1
1075874041,2
1075874046,3
1075874047,2
1075874048,2
1075874049,2
1075874050,3
1075874052,3
1075874054,3
1075874056,3
1075874057,2
1075874058,3
1075874062,3
1075874063,2
1075874064,3
1075874070,4
1075874071,3
1075874074,3
1075874076,4
1075874077,5
1075874078,4
1075874079,4
1075874080,4
1075874083,3
1075874084,3
1075874085,3
1075874087,3
1075874094,3
1075874095,2
1075874096,3
1075874097,3
1075874098,2
1075874099,3
1075874100,3
1075874101,3
1075874102,2
1075874103,4
1075874104,4
1075874124,8
1075874125,6
1075874126,9
1075874127,6
1075874128,6
1075874153,4
1075874176,3
1075874206,6
1075874295,2
1075874296,3
1075874297,7
1075874298,2
1075874299,6
1075874317,3
1075874318,1
1075874328,1
1075874329,1
1075874330,1
1075874331,1
1075874332,1
1075874334,1
1075874335,1
1075874336,1
1075874380,3
1075874381,3
1075874382,5
1075874383,4
1075874384,3
1075874385,5
1075874644,4
